model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_Spearman_mean,cv_Spearman_std,test_MAE,test_RMSE,test_R2,test_Spearman,n_cv_val_per_fold_avg,n_test
linearsvr,0.06673489310935563,0.041682983824524095,0.11838766209157665,0.04420296429202291,0.6214145609948882,0.3187220902081837,0.7059897354015299,0.23100382747577164,0.06394160382379617,0.11222787287619237,0.7358878135472869,0.6323999965844568,17.2,22
elasticnet,0.09079258038658503,0.04196501155606673,0.13446813615973713,0.05509616421807779,0.5041924532023058,0.36536156838524003,0.6678772210896344,0.2518903494667441,0.09013576910354111,0.1337623168856805,0.6248071594798106,0.697623533548449,17.2,22
rf,0.09092851851851856,0.026446593250576522,0.11519556508266311,0.032662148593490654,0.6635473539803114,0.2192475845671992,0.6845546856406426,0.22677880632526898,0.07004090909090915,0.09992436963256095,0.7906225954937829,0.67497341882285,17.2,22
ridge,0.09314529905174025,0.026431240351244528,0.12211104209372789,0.03854536459532975,0.6147554907982415,0.25747437216150604,0.7574293455024105,0.18292728530408428,0.08143652704145267,0.10727764667962669,0.7586732560297771,0.7083823380431085,17.2,22
lasso,0.0955939136841923,0.04491982764427682,0.13619603855810866,0.05891018506495681,0.4840505671223558,0.40064879539919107,0.6634621034370364,0.24568454250873537,0.09754463022209482,0.1441104150670786,0.56451047269163,0.6823347061086698,17.2,22
