model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_Spearman_mean,cv_Spearman_std,test_MAE,test_RMSE,test_R2,test_Spearman,n_cv_val_per_fold_avg,n_test
ridge,0.12411133552769264,0.04317844995582282,0.1633862493435876,0.06722579639867887,-0.5581843798223447,2.105268554209516,0.5377373128768531,0.27427546839345784,0.07417850130034591,0.08670135861408992,0.77901750112284,0.6600407445134197,11.2,14
rf,0.12643121212121217,0.029425928071742283,0.16999046368645127,0.04936472984577669,-0.3681197900820953,1.42356142573266,0.5482731026973999,0.3125371722359732,0.08817380952380972,0.10510443596878982,0.6752507428460968,0.4178035689175855,11.2,14
linearsvr,0.13196486942235025,0.05224964708349507,0.17981919052514966,0.08342528753705564,-0.974528357983281,2.7226636212056974,0.49872955049375156,0.2743026825448061,0.08058510593882924,0.09007021215297645,0.7615109488117666,0.6267053533763782,11.2,14
elasticnet,0.14051648443636935,0.04975554446336328,0.20089857292543994,0.07661102745480018,-3.2296110998969816,7.69416631571602,0.45836086116116476,0.2839923601847206,0.08795309829523679,0.1059923103431887,0.6697409009689352,0.5155873829195736,11.2,14
lasso,0.15316615555309185,0.045307475223834014,0.21995438450945054,0.08119393107467134,-5.3554251823493635,12.330314939784218,0.448356353366283,0.18335082275530792,0.08913218926580908,0.1143372045704841,0.6156904167500225,0.48834482815675184,11.2,14
