model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_Spearman_mean,cv_Spearman_std,test_MAE,test_RMSE,test_R2,test_Spearman,n_cv_val_per_fold_avg,n_test
linearsvr,0.06244561381791448,0.02993633100621361,0.10563826903397247,0.027881296216287255,0.7207376443834755,0.17009144471490517,0.6888789864364923,0.22467854459514708,0.08029270417951025,0.1299519696704845,0.6458781614526348,0.6120091323864805,17.2,22
elasticnet,0.07785033600980204,0.02878064598799474,0.11012004056775444,0.037211947156934946,0.6828247216336873,0.2091979519910891,0.7043417209664204,0.22647934742784462,0.07365002246427216,0.11237903152660873,0.7351758740533627,0.7265024298235878,17.2,22
lasso,0.08134549234349935,0.03045150305603977,0.10937043241928271,0.038725580130747075,0.6842711796192585,0.20394890802758664,0.6964242364335347,0.24695583800296608,0.07648898293849243,0.1074867803445797,0.7577314243955922,0.7502850502854667,17.2,22
ridge,0.08935603113957669,0.012190197097238353,0.11578636505007914,0.02079907771663341,0.6791098773398159,0.12278901152650154,0.7636172641595572,0.2166833431112735,0.08773395578274559,0.11237407719823266,0.7351992235473587,0.7174423839333481,17.2,22
rf,0.09489540305010878,0.015211296864639305,0.122300084563072,0.02295417028169997,0.6412927271333,0.13923492450087835,0.6999831509947437,0.21006489077197546,0.08202272727272737,0.11495601156946762,0.7228911779091021,0.7106473495156684,17.2,22
