MAE,RMSE,R2,Spearman,n,fold
0.10288518518518489,0.13760572725304498,0.5049225780941109,0.731607788898654,18,1
0.09690000000000057,0.13861859437277002,0.5473083761310786,0.7653568429005998,17,2
0.0664901960784316,0.07966984816028215,0.8699677266605219,0.7896745993449953,17,3
0.0978313725490195,0.12832446620754345,0.599524400985128,0.3393045428051882,17,4
0.10771764705882268,0.1252477706479738,0.687061215495888,0.8832984259252556,17,5
