model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_Spearman_mean,cv_Spearman_std,test_MAE,test_RMSE,test_R2,test_Spearman,n_cv_val_per_fold_avg,n_test
linearsvr,0.061186901463174445,0.023259308073236604,0.10280374971483322,0.027380868244030528,0.7384586538179301,0.1566678719967633,0.7186006157469237,0.226759788294018,0.07479183328703089,0.12132248740469355,0.6913476491763851,0.7236711654828879,17.2,22
elasticnet,0.07360030807279276,0.03145763999795251,0.10648890258482631,0.039783172863217316,0.6946056313154363,0.2366195518181692,0.6671450502313904,0.27096742749934644,0.06197975767348478,0.0977310668502899,0.7997132328039798,0.7904890039234048,17.2,22
lasso,0.07968046052201752,0.03274703323723201,0.10818655504943211,0.03986576466809379,0.6870467085058249,0.2240219490762506,0.6526800939792791,0.28202593939971365,0.06985902990809625,0.09586435917244535,0.8072912988051268,0.7536825674943065,17.2,22
ridge,0.09074301844360987,0.011150464432597615,0.11836721685117838,0.020439908399979268,0.6661548536580092,0.1339486694222199,0.7136796237350355,0.23442288178787665,0.08865643418648488,0.11187996031196203,0.7375227998807428,0.7457550273403469,17.2,22
rf,0.09436488017429186,0.016173538545337127,0.12189328132832289,0.02430045318206247,0.6417568594733455,0.14453408049066263,0.7018484399749386,0.21035359822013205,0.08217878787878809,0.1148208917040674,0.7235422252261099,0.7168761310652082,17.2,22
