model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_Spearman_mean,cv_Spearman_std,test_MAE,test_RMSE,test_R2,test_Spearman,n_cv_val_per_fold_avg,n_test
ridge,0.11696382809100687,0.020715256000227382,0.15834449411102308,0.03822792536296484,0.278029396882173,0.3860725191376653,0.6017920848516264,0.12298260336756744,0.11793214594110285,0.1390555104125932,0.6283551270544793,0.6941098188090026,12.0,15
rf,0.1270977777777778,0.017612091893474437,0.16075708576955186,0.040114459571946474,0.2604227918691697,0.38787668806272,0.4844715551144687,0.17554704198369983,0.1480355555555556,0.16878165733234093,0.4524771695738605,0.47812351880726506,12.0,15
linearsvr,0.12837717550179278,0.02992901043609416,0.179839181098769,0.047442833850178744,0.07462689031568155,0.44628458722271835,0.5595436838412247,0.17256171487916278,0.10852085525328073,0.13500537751667507,0.6496889198704585,0.6910350165458363,12.0,15
lasso,0.14241249046744497,0.03388952617475819,0.1996646985126628,0.04777516106598676,-0.1036656849560917,0.4302694393174915,0.5105910359068477,0.15570022754177054,0.10850127582186193,0.13309628417930194,0.6595262762863736,0.5851936504320581,12.0,15
elasticnet,0.14269835302058181,0.03208884869283109,0.19989224531113478,0.04982122101317922,-0.10755959332271112,0.43951234176539666,0.5211443494536736,0.17171844748751158,0.0997131418468378,0.12322138831275986,0.7081740325126092,0.6682653042788801,12.0,15
