model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_Spearman_mean,cv_Spearman_std,test_MAE,test_RMSE,test_R2,test_Spearman,n_cv_val_per_fold_avg,n_test
rf,0.10641601010101003,0.018644925279747347,0.13922054551372415,0.028974094681571833,0.035796710444580306,1.014911847434022,0.44264731944899116,0.4262087050313762,0.06746428571428595,0.0821439169703887,0.8016387253210939,0.47558491355512394,11.2,14
ridge,0.12801397211469728,0.016146916487559896,0.17322257845313419,0.011915997349861335,-1.1131100008519919,3.081545586779077,0.5602040607651957,0.2777356220438428,0.0883522724581783,0.10801021968508592,0.6570460784637826,0.5867028840119287,11.2,14
lasso,0.1475126944429745,0.02101157748312457,0.2048636085180235,0.039486489600979766,-3.832125929212572,8.856882414446778,0.45401521522240457,0.24421474587088837,0.10722845768922491,0.13746755403393704,0.4444713199096506,0.4000246936444967,11.2,14
elasticnet,0.14792632352150253,0.023451910526612586,0.2067036488720547,0.04172856490292489,-4.140012753242443,9.54749599241972,0.4931842264740399,0.22183276207497757,0.11347757081781722,0.13460817543875989,0.467341392256148,0.4311377253724021,11.2,14
linearsvr,0.15580112776901336,0.0464550006829841,0.21045263881465445,0.06048845259760567,-0.9837921740852817,1.734207576123276,0.3794621220533929,0.26517117604914325,0.0932907492188828,0.10978568764310086,0.6456784825328652,0.5111426641013015,11.2,14
