model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_Spearman_mean,cv_Spearman_std,test_MAE,test_RMSE,test_R2,test_Spearman,n_cv_val_per_fold_avg,n_test
ridge,0.12457475742150954,0.04241869282703659,0.170472880088891,0.06238321089921133,-1.7537282193500352,4.867523665355425,0.5620595616083227,0.2917915584818723,0.07679067928597798,0.09209021720483081,0.7506938058063606,0.6355947910129226,11.2,14
rf,0.12660191919191927,0.031385652328321065,0.1695718985521504,0.05132565889280605,-0.3188906689530331,1.313661326359959,0.5302010748657047,0.33152840157040886,0.09062619047619037,0.10760802730132396,0.6595954047698819,0.40446941246276896,11.2,14
elasticnet,0.13436993278827267,0.0505371304674536,0.19668538901498567,0.08282875739851824,-4.628656885443421,11.113491450564139,0.5484952182411297,0.17188031748940577,0.11018153334323531,0.13977269531448783,0.4256842131487374,0.5333662581926625,11.2,14
linearsvr,0.14289812570401667,0.05378314840796998,0.19534266037306383,0.08315526809504646,-1.708963208986613,4.131956829006616,0.4231501415877424,0.30764793960579934,0.0773144788237714,0.08985401613530838,0.7626544678856096,0.5606510100022845,11.2,14
lasso,0.14637653217599833,0.045331958009210645,0.20594075421493466,0.08312019261333135,-4.958538787891028,11.723641686556967,0.5111236033012425,0.19930896216417823,0.09081539344388774,0.12873215618606942,0.5128304208423715,0.4111364906901772,11.2,14
