model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_Spearman_mean,cv_Spearman_std,test_MAE,test_RMSE,test_R2,test_Spearman,n_cv_val_per_fold_avg,n_test
ridge,0.11075271954826171,0.01831281255225607,0.14917464677419928,0.03850355219721576,0.385793020529175,0.26374378038826524,0.5203388440813562,0.08615333541533578,0.11891905027099996,0.14292925115348032,0.6073605113405004,0.6941098188090026,12.0,15
linearsvr,0.11893253334985088,0.024078802088731498,0.16695379585632766,0.04198630174859678,0.22233236954329127,0.3613963120059447,0.5505890912246902,0.0939556948816405,0.10303906202306022,0.13200399170204094,0.6650917336642312,0.7058165142259613,12.0,15
rf,0.1268616666666667,0.01773240644768554,0.16155940846886546,0.041406260681417444,0.2659345945479755,0.35211171504944766,0.4500387542760119,0.11746076450781898,0.1517177777777779,0.1752957710081257,0.4093984034647139,0.3858216811996849,12.0,15
elasticnet,0.1323389660087639,0.022137177850464377,0.18463975425179185,0.029526939959391704,0.0623440001975184,0.28904450129801745,0.4923666223003241,0.22405207747921044,0.09522686541885665,0.12396658640913137,0.7046336448811061,0.8159482444510083,12.0,15
lasso,0.13397159924152385,0.020380946671668503,0.18830940896616621,0.019298361509065737,0.022130009808559236,0.2570291263783767,0.5064309259860619,0.174818660915608,0.10801994393697098,0.13666656532417465,0.6410150028668398,0.8104101341945535,12.0,15
