model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_Spearman_mean,cv_Spearman_std,test_MAE,test_RMSE,test_R2,test_Spearman,n_cv_val_per_fold_avg,n_test
ridge,0.10807698000029631,0.01714146730985496,0.14570402853052972,0.038819000821231193,0.4120887330657723,0.263846818549239,0.5534014029365207,0.11739862463465693,0.11471053656898893,0.1371139764515288,0.6386607066843626,0.6978018923133058,12.0,15
lasso,0.12739869203139295,0.02870458542037499,0.18280237650566472,0.03721854392315147,0.07952428002821596,0.3278964338263345,0.5062000331303343,0.16448683554465768,0.10418862783747794,0.1314189392771733,0.6680538362833013,0.631344569235848,12.0,15
rf,0.12762999999999997,0.01815126560053668,0.1630447722080029,0.041116752748576804,0.24740235291837737,0.36986387118096853,0.44657615828972225,0.15390195104011253,0.1521111111111111,0.17576031954319438,0.40626396790414776,0.39874393846474615,12.0,15
linearsvr,0.12884756661738134,0.03193887888227452,0.17777425766469995,0.05248794214255228,0.11821830361670889,0.46213243952816196,0.4958608948666857,0.18163488482869877,0.10938146571177641,0.13879227232824262,0.6297608748006818,0.6522335851355086,12.0,15
elasticnet,0.13035954074872774,0.027955729894176773,0.18099645917964688,0.040751872388175174,0.09364417996243717,0.36035519073853606,0.4646199827683234,0.20432952722874415,0.09668470039807436,0.12389420607412453,0.7049784551265126,0.6744058316556958,12.0,15
